drug_name,rxcui,drug_class,normal_dose_mg,dose_unit,frequency,indications,contraindications
Metformin,860975,Biguanide,500,mg,twice daily,"Type 2 Diabetes","Renal failure,Lactic acidosis risk"
Metronidazole,28237,Antibiotic,400,mg,three times daily,"Bacterial infection,Anaerobic infection","Alcohol use,First trimester pregnancy"
Amlodipine,17767,Calcium Channel Blocker,5,mg,once daily,"Hypertension,Angina","Cardiogenic shock"
Atenolol,1202,Beta Blocker,50,mg,once daily,"Hypertension,Angina","Asthma,Heart block"
Aspirin,1191,NSAID/Antiplatelet,75,mg,once daily,"Cardiovascular prevention,Pain","Peptic ulcer,Bleeding disorders"
Warfarin,11289,Anticoagulant,5,mg,once daily,"Atrial fibrillation,DVT,PE","Active bleeding,Pregnancy"
Amoxicillin,723,Antibiotic,500,mg,three times daily,"Bacterial infection","Penicillin allergy"
Ciprofloxacin,2551,Antibiotic,500,mg,twice daily,"Bacterial infection,UTI","Tendon disorders,Children"
Omeprazole,40790,Proton Pump Inhibitor,20,mg,once daily,"GERD,Peptic ulcer,H.pylori","Hypersensitivity"
Atorvastatin,83367,Statin,20,mg,once daily,"Hypercholesterolemia,Cardiovascular risk","Liver disease,Pregnancy"
Lisinopril,29046,ACE Inhibitor,10,mg,once daily,"Hypertension,Heart failure","Angioedema,Pregnancy,Hyperkalemia"
Losartan,203644,ARB,50,mg,once daily,"Hypertension,Diabetic nephropathy","Pregnancy,Hyperkalemia"
Glibenclamide,3448,Sulfonylurea,5,mg,once daily,"Type 2 Diabetes","Renal failure,Hypoglycemia risk"
Insulin Glargine,274783,Insulin,10,units,once daily,"Type 1 Diabetes,Type 2 Diabetes","Hypoglycemia"
Paracetamol,41493,Analgesic,500,mg,four times daily,"Pain,Fever","Liver failure"
Ibuprofen,5640,NSAID,400,mg,three times daily,"Pain,Inflammation,Fever","Peptic ulcer,Renal failure,Pregnancy"
Diclofenac,3355,NSAID,50,mg,twice daily,"Pain,Arthritis","Peptic ulcer,Cardiovascular disease"
Prednisolone,8638,Corticosteroid,10,mg,once daily,"Inflammation,Asthma,Autoimmune","Infection,Diabetes worsening"
Salbutamol,9076,Beta-2 Agonist,2,mg,three times daily,"Asthma,COPD","Hypersensitivity"
Levothyroxine,10582,Thyroid hormone,50,mcg,once daily,"Hypothyroidism","Hyperthyroidism,Adrenal insufficiency"
Azithromycin,18631,Macrolide Antibiotic,500,mg,once daily,"Bacterial infection","QT prolongation,Liver disease"
Pantoprazole,40790,Proton Pump Inhibitor,40,mg,once daily,"GERD,Ulcer","Hypersensitivity"
Clopidogrel,41493,Antiplatelet,75,mg,once daily,"ACS,Stroke prevention","Active bleeding"
Digoxin,3407,Cardiac Glycoside,0.25,mg,once daily,"Heart failure,Atrial fibrillation","Ventricular fibrillation,Hypokalemia"
Phenytoin,8132,Antiepileptic,100,mg,three times daily,"Epilepsy,Seizures","Liver disease,Pregnancy"
Carbamazepine,2002,Antiepileptic,200,mg,twice daily,"Epilepsy,Bipolar disorder","Bone marrow depression,MAO inhibitor use"
Rifampicin,9384,Antitubercular,600,mg,once daily,"Tuberculosis","Liver disease,Oral contraceptive interaction"
Isoniazid,6038,Antitubercular,300,mg,once daily,"Tuberculosis","Liver disease,Peripheral neuropathy"
Furosemide,4603,Loop Diuretic,40,mg,once daily,"Heart failure,Edema,Hypertension","Hypokalemia,Renal failure"
Spironolactone,9997,Potassium-sparing Diuretic,25,mg,once daily,"Heart failure,Hyperaldosteronism","Hyperkalemia,Renal failure"
Hydrochlorothiazide,5487,Thiazide Diuretic,25,mg,once daily,"Hypertension,Edema","Gout,Hyponatremia"
Ramipril,35296,ACE Inhibitor,5,mg,once daily,"Hypertension,Heart failure,Post-MI","Angioedema,Pregnancy"
Simvastatin,36567,Statin,20,mg,once daily,"Hypercholesterolemia","Liver disease,Myopathy risk"
Tramadol,41400,Opioid Analgesic,50,mg,four times daily,"Moderate-severe pain","Seizure disorder,MAO inhibitor use"
Morphine,7052,Opioid Analgesic,10,mg,every 4 hours,"Severe pain","Respiratory depression,Head injury"
Codeine,2670,Opioid,30,mg,four times daily,"Mild-moderate pain,Cough","Children under 12,Respiratory depression"
Cetirizine,2678,Antihistamine,10,mg,once daily,"Allergic rhinitis,Urticaria","Hypersensitivity"
Loratadine,17698,Antihistamine,10,mg,once daily,"Allergic rhinitis,Urticaria","Hypersensitivity"
Doxycycline,3778,Tetracycline Antibiotic,100,mg,twice daily,"Bacterial infection,Malaria","Children under 8,Pregnancy"
Fluconazole,4450,Antifungal,150,mg,single dose,"Candidiasis,Fungal infection","QT prolongation,Liver disease"
